Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	swap_cold	topo_hash	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
55400	-969.029076936238	-1029.23037944884	1.46116040269608	2.36316727434086	0.628364696247668	0.995162371721804	0.956265698674992	27	4065105694512963	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00261602824568503	0.013683753629714	0.167567015143716	0.0685135483129887	0.0100175204873566	0.181741315355094	0.0153600354041809	0.0153600354041809	0.0134213525823185	0.0268240598234239	0.0240457882513934	0.0110826637296397	0.0355265077838775	0.00754091880314455	0.0311743346695665	0.0394280139965708	0.0348915791283517	0.0414261185033619	0.0250564438933801	0.0211542488797089	0.0324446686617464	0.00989214167778993	0.0299891820406287	0.0324222525193259	0.0209286534389821	0.0227275652640766	0.00989886529177349	0.00800777392412778	0.0277429123429549	0.0195147028109405
55600	-964.732104273595	-1030.25280562444	1.42839852848738	2.17976607923445	0.0187471062768761	0.991699478922862	1.22672007243449	24	4065105694512963	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00158450925009786	0.013683753629714	0.167567015143716	0.0952658939474099	0.0100175204873566	0.181741315355094	0.0153600354041809	0.0161851301382717	0.0237241234560226	0.0268240598234239	0.00678148315640886	0.0110826637296397	0.0355265077838775	0.00187921971379457	0.0306957649401467	0.0524203748276379	0.0144460869731642	0.0292986920074181	0.0250564438933801	0.0140787571077403	0.0324446686617464	0.00989214167778993	0.0574936216742456	0.0324222525193259	0.0209286534389821	0.00926015162370875	0.00989886529177349	0.00800777392412778	0.0269178176088641	0.0195147028109405
55800	-987.556836732934	-1026.11443118746	1.29148707182651	1.47400461391082	0.451824675965977	0.928218400414859	0.965838945619683	43	3228060783032114	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	0.0191902236772992	0.054642158270141	0.0774840088469878	0.149839604877908	0.0155314652962801	0.018596745593053	0.0222391267150028	0.0274874065217725	0.0200664134658761	0.0303404500400081	0.0222159032694223	0.0136030371474415	0.0446229890257695	0.0300408600587401	0.0113329513707933	0.0192661472565691	0.0310086114216001	0.172916310929176	0.0425757061007474	0.019127531219584	0.0199778006623037	0.00568822143961825	0.0115363610377911	0.00879433857056926	0.0224575585594372	0.0218127492375909	0.011030339647811	0.0092385147611473	0.028321012023143	0.0190154529564159
56000	-975.849109250296	-1027.87706401638	1.31988309805036	2.50950037374614	0.255415324114649	0.972137650281693	0.952321824690447	58	3228060783032114	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	0.0191902236772992	0.0458897989932516	0.0774840088469878	0.149839604877908	0.0155314652962801	0.018596745593053	0.0222391267150028	0.0274874065217725	0.016236709138122	0.0303404500400081	0.0222159032694223	0.0320128684892858	0.0446229890257695	0.0300408600587401	0.0143253818784344	0.0192661472565691	0.0310086114216001	0.189598209343866	0.0270997064767668	0.00921360732557762	0.0199778006623037	0.0162662763466567	0.0134570391812239	0.00646067440033647	0.0224575585594372	0.0188203187299498	0.011030339647811	0.00195370324700484	0.028321012023143	0.0190154529564159
56200	-973.832536729636	-1025.41701854382	1.16020112409682	2.16363043265899	0.660897400188084	0.97424673117485	1.29242162692505	30	8466954280062355	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	0.00195370324700484	0.0191902236772992	0.0555563202874566	0.0774840088469878	0.149839604877908	0.0155314652962801	0.018596745593053	0.0222391267150028	0.0274874065217725	0.016236709138122	0.0303404500400081	0.0222159032694223	0.0320128684892858	0.0395733566733741	0.0300408600587401	0.0143253818784344	0.0168550732077285	0.0302117595937953	0.189598209343866	0.0207466303387559	0.014263239677973	0.0199778006623037	0.0162662763466567	0.0134570391812239	0.00646067440033647	0.0223520392798883	0.0188203187299498	0.011030339647811	0.0190154529564159	0.028321012023143
56400	-979.479687525844	-1028.63809644495	1.31984867957347	1.09064418349176	0.202767665478221	0.9695512754228	1.23194845869075	10	8728474999979009	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	0.0214415219721289	0.10736120014114	0.158880459887161	0.0181922494535467	0.0127510390275399	0.0222391267150028	0.0220518423809813	0.016236709138122	0.0303404500400081	0.000422422877409336	0.0200351179115701	0.0395733566733741	0.0300408600587401	0.0143253818784344	0.0168550732077285	0.0302117595937953	0.15386394174111	0.00706981883054354	0.014263239677973	0.0199778006623037	0.0299948462340865	0.0134570391812239	0.00646067440033647	0.0303094503728056	0.0223520392798883	0.0188203187299498	0.0195794746660797	0.0555563202874566	0.028321012023143	0.0190154529564159
56600	-962.089101831083	-1028.62463391616	1.46941165624036	1.09753081133833	0.317968239192455	0.993428953128375	0.883770622705538	32	962618426752059	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0210761046484164	0.0205286415911699	0.0161313231908645	0.122026071373504	0.0122235330094102	0.00241195731004933	0.0952800226820088	0.165412455601829	0.0090060524136138	0.013693420099134	0.0419251940047507	0.0492319518685103	0.0150591540878739	0.0248860309564213	0.0292864460402193	0.0203161836122828	0.0442439589730524	0.0552012787447306	0.0121981514471551	0.0350059671186348	0.0107601032582308	0.0154036211399191	0.0639680060938988	0.0260296381412466	0.0263952089102178	0.00699422183844331	0.0160161416040705	0.0234473471275703	0.00307182627917244	0.00276998683360089
56800	-962.888160258455	-1027.21862882538	1.53057922523623	1.65489509894387	0.0453910263114033	0.979709222135101	1.02332990865058	19	5944953754833116	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00688436570665871	0.10736120014114	0.000422422877409336	0.158880459887161	0.0181922494535467	0.0298825879695671	0.0305425983789727	0.0220518423809813	0.016236709138122	0.0303404500400081	0.00211979156937534	0.0168550732077285	0.0124179432173554	0.0299204093381122	0.0395733566733741	0.0480474294261076	0.00688436570665871	0.0223520392798883	0.0188203187299498	0.0195794746660797	0.0305687446783106	0.028321012023143	0.0190154529564159	0.16765912164354	0.0256656770444633	0.0115915091945907	0.0199778006623037	0.0299948462340865	0.0170411269013328	0.0127996208736156
57000	-975.346170141744	-1027.80006211422	1.53057922523623	1.54091885041484	0.492947610197608	0.9821596981008	0.785713732762522	18	4423777882647799	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	0.00688436570665871	0.103071624581195	0.00385363302290623	0.00385363302290623	0.151173193841348	0.0181922494535467	0.0298825879695671	0.0305425983789727	0.0220518423809813	0.016236709138122	0.0303404500400081	0.00937220330957301	0.0299204093381122	0.0395733566733741	0.0480474294261076	0.0367367055020197	0.0157387831777569	0.0223520392798883	0.0188203187299498	0.0195794746660797	0.0305687446783106	0.028321012023143	0.0178931492286774	0.16765912164354	0.0079294609213252	0.0115915091945907	0.0199778006623037	0.0299948462340865	0.0170411269013328	0.0127996208736156
57200	-954.977690111863	-1021.39955788529	1.52146222387947	1.73891863673016	0.469972726295609	0.999558990934327	1.14463129965922	8	983375680804057	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0126654393023233	0.103071624581195	0.0128476673117989	0.00353158881778397	0.151173193841348	0.0181922494535467	0.0186910621173241	0.0305425983789727	0.0220518423809813	0.016236709138122	0.0140130346866196	0.0202195492392754	0.0223646075282338	0.0385772208785594	0.0511776669343632	0.0367367055020197	0.0157387831777569	0.0078280388429211	0.0188203187299498	0.0195794746660797	0.0305687446783106	0.0331437278843999	0.0228219568897532	0.16765912164354	0.0300856263235154	0.00847321434654109	0.0194664566190413	0.032484953935377	0.0170411269013328	0.00419569526901291
57400	-960.321672148891	-1026.88565745609	1.38421774589133	1.68966098393252	0.18458172126827	0.999558990934327	1.39928196239722	6	8483910910260745	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0126654393023233	0.00797868106358526	0.103071624581195	0.00747219624327771	0.151173193841348	0.0181922494535467	0.0275512133367065	0.0305425983789727	0.0220518423809813	0.016236709138122	0.0140130346866196	0.00353158881778397	0.0223646075282338	0.0385772208785594	0.0511776669343632	0.0202195492392754	0.0367367055020197	0.0305687446783106	0.0331437278843999	0.0164214068598722	0.0121957695396444	0.0188203187299498	0.0231439591199992	0.16765912164354	0.0300856263235154	0.0112169711890897	0.0194664566190413	0.032484953935377	0.0170411269013328	0.00419569526901291
57600	-959.70651841612	-1026.28691097874	1.59875303936852	2.02373699436862	0.269096327992365	0.99906430125732	0.90008821599058	10	8483910910260745	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0162405747360792	0.00797868106358526	0.103071624581195	0.00747219624327771	0.151173193841348	0.0181922494535467	0.0275512133367065	0.0305425983789727	0.0184767069472254	0.016236709138122	0.0140130346866196	0.00353158881778397	0.0223646075282338	0.0385772208785594	0.0511776669343632	0.0202195492392754	0.0367367055020197	0.0305687446783106	0.0331437278843999	0.0164214068598722	0.0121957695396444	0.0350655881772716	0.0231439591199992	0.16765912164354	0.0138403568761937	0.0112169711890897	0.0194664566190413	0.032484953935377	0.0170411269013328	0.00419569526901291
57800	-991.541544940044	-1033.48700280345	0.399967831837067	1.79884691907668	3.12772809072218	0.951829677251682	1.23163702719413	13	5565647855176483	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	0.0117095408559416	0.00856879662974178	0.016352961293866	0.0193641634820514	0.0355014860708926	0.0123049219798582	0.0146791564852321	0.220267117512503	0.017611174862406	0.0316632460897358	0.0303642012239447	0.0429267206976728	0.00493878664787744	0.0226214257535441	0.0103342907615678	0.075761628983302	0.153706317123393	0.000769463234120597	0.0522242658288146	0.0334104733332904	0.0307345790040672	0.00212257798397875	0.00699026305203147	0.00968847835031272	0.0150013864409518	0.0265592443700526	0.00305626762227063	0.0240323814855763	0.0334529252437606	0.0332817575972408
