Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	phi	pi0	theta_1	swap_cold	topo_hash	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
53200	-1099.84468606036	-1025.22393670132	1.38172930280072	1.43832382915085	0.764221976102211	0.981425184597533	1.03035233883552	0.348774290818811	0.755158304720197	0.303103761951812	8	1001924983028515	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0197515773965017	0.015744757212759	0.112869633264106	0.162363773551132	0.0243427649094058	0.0215710166690729	0.0195988249937251	0.0399980969911894	0.0238072857017799	0.0196315342520412	0.0261757332718599	0.0296557509447288	0.033598607942362	0.030099668201283	0.0147048735255532	0.0346103125786278	0.0090202206732398	0.0200853580961372	0.121882921487963	0.000233710314419152	0.0291375280379989	0.0431984259039347	0.0136063344250201	0.0118161811352216	0.00816656003302835	0.0183566301497087	0.037278833560233	0.0372797382872949	0.0194949376700496	0.00191840881962456
53400	-1090.48361201643	-1017.36057824547	1.56825176208763	1.32975626324945	0.177357683590228	0.985609141107692	0.962269584907774	0.348774290818811	0.755158304720197	0.332588657608269	4	678733402734302	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0197515773965017	0.015744757212759	0.112869633264106	0.164899969678043	0.0175897045015344	0.000129588447702134	0.0439415899031309	0.0399980969911894	0.0238072857017799	0.0196315342520412	0.0258726099926315	0.0296557509447288	0.033598607942362	0.030099668201283	0.0115410679153447	0.0346103125786278	0.0090202206732398	0.0174195735215237	0.121882921487963	0.000233710314419152	0.0291375280379989	0.0471797380714732	0.0136063344250201	0.0118161811352216	0.00816656003302835	0.0215204357599172	0.037278833560233	0.0375828615665233	0.0194949376700496	0.00191840881962456
53600	-1116.20043974467	-1029.01722749107	1.52529302620431	2.6249669097344	0.504999629027159	0.985609141107692	0.632960400702386	0.348774290818811	0.723058785908453	0.295179253852124	6	937536776247564	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0197515773965017	0.015744757212759	0.0174195735215237	0.112869633264106	0.164899969678043	0.0318141255553778	0.000129588447702134	0.0297171688492875	0.0399980969911894	0.0263795866958765	0.020807189512249	0.0258726099926315	0.0236607308736878	0.033598607942362	0.030099668201283	0.0115410679153447	0.0346103125786278	0.0112986964147709	0.121882921487963	0.000233710314419152	0.0291375280379989	0.0471797380714732	0.0136063344250201	0.00836205013348272	0.00816656003302835	0.0215204357599172	0.037278833560233	0.0375828615665233	0.0229176567469941	0.00191840881962456
53800	-1076.97580849361	-1025.79896075986	1.3967380949852	1.88389952105724	0.422499598001294	0.991962494097385	1.2250867051434	0.656789614215083	0.765027928463759	0.307064967535001	4	4485126906488085	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0197515773965017	0.015744757212759	0.0174195735215237	0.130895844408693	0.141051706236957	0.0225865640107568	0.00161600873083454	0.039503151014647	0.0437753083838177	0.0185986482629497	0.020807189512249	0.0258726099926315	0.0236607308736878	0.033598607942362	0.030099668201283	0.0115410679153447	0.0346103125786278	0.0112986964147709	0.114797098259005	0.0073195335433771	0.0291375280379989	0.0471797380714732	0.0136063344250201	0.00836205013348272	0.0162216689026402	0.0212462653232322	0.037278833560233	0.0375828615665233	0.0229176567469941	0.00191840881962456
54000	-1111.64396103641	-1020.76619032269	1.32193657944721	1.65277181181837	0.696709175154228	0.973960764457952	0.820697518743443	0.656789614215083	0.727579608335774	0.297081119317359	0	4485126906488085	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0197515773965017	0.015744757212759	0.0174195735215237	0.130895844408693	0.141051706236957	0.0225865640107568	0.00161600873083454	0.039503151014647	0.0437753083838177	0.0212578270390934	0.020807189512249	0.0258726099926315	0.0236607308736878	0.0516550869356345	0.030099668201283	0.0089096767798639	0.0346103125786278	0.0112986964147709	0.114797098259005	0.0073195335433771	0.0291375280379989	0.0291232590782006	0.0136063344250201	0.00836205013348272	0.018853060038121	0.0212462653232322	0.037278833560233	0.0375828615665233	0.0202584779708504	0.00191840881962456
54200	-1093.67072699808	-1015.78005837896	0.432405045817722	1.50777153296876	2.88528197464853	0.966801422668179	0.782244632040783	0.291004490689302	0.727579608335774	0.231465501557693	0	4485126906488085	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0109427951644106	0.015744757212759	0.0173318033118746	0.130895844408693	0.141051706236957	0.0226506327366166	0.00161600873083454	0.039503151014647	0.0437753083838177	0.0212578270390934	0.020807189512249	0.0258726099926315	0.0236607308736878	0.0516550869356345	0.0371993622502508	0.00180998273089605	0.0346103125786278	0.0112986964147709	0.114797098259005	0.0073195335433771	0.0291375280379989	0.0292110292878498	0.0136063344250201	0.00836205013348272	0.0276618422702121	0.0212462653232322	0.037278833560233	0.0375828615665233	0.0202584779708504	0.0018543400937648
54400	-1093.29259968278	-1013.87449513679	1.37390214041555	2.49173566003473	0.592782916046857	0.960929525648022	1.12019710846193	0.291004490689302	0.748690839843302	0.241460352012971	0	4485126906488085	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0109427951644106	0.015744757212759	0.0173318033118746	0.130895844408693	0.141051706236957	0.0226506327366166	0.00166359230272827	0.039503151014647	0.0437753083838177	0.0212578270390934	0.020807189512249	0.0258726099926315	0.0236607308736878	0.0516550869356345	0.0371993622502508	0.00180998273089605	0.0346103125786278	0.0112986964147709	0.114797098259005	0.0073195335433771	0.0133604765051649	0.0449880808206837	0.0136063344250201	0.00836205013348272	0.0276618422702121	0.0212462653232322	0.037278833560233	0.0375828615665233	0.0202584779708504	0.00180675652187107
54600	-1094.37435663459	-1027.08496557814	1.3028240759249	1.32478481120139	0.85932492650709	0.996366559629635	0.603749032259713	0.291004490689302	0.748690839843302	0.200141672511446	0	4485126906488085	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0109427951644106	0.0298772220389779	0.00319933848565573	0.130895844408693	0.141051706236957	0.0226506327366166	0.00166359230272827	0.039503151014647	0.0437753083838177	0.0212578270390934	0.020807189512249	0.0240675937293696	0.0236607308736878	0.0516550869356345	0.0371993622502508	0.00180998273089605	0.0346103125786278	0.0112986964147709	0.114797098259005	0.0073195335433771	0.0133604765051649	0.0449880808206837	0.0136063344250201	0.00836205013348272	0.0276618422702121	0.0212462653232322	0.037278833560233	0.0249933049413421	0.0202584779708504	0.0162013294103141
54800	-1088.38975427848	-1017.99997016248	1.36727654499055	2.46372017855061	0.486605105774957	0.996366559629635	1.15348506653195	0.291004490689302	0.723280603048338	0.338499411362646	6	2688120311708066	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0109427951644106	0.0389407637176389	0.00260436125623032	0.131490821638118	0.0240675937293696	0.141051706236957	0.0226506327366166	0.00166359230272827	0.039503151014647	0.0430497390033755	0.0212578270390934	0.0235429569483433	0.00180998273089605	0.0346103125786278	0.0112986964147709	0.0236607308736878	0.0516550869356345	0.0371993622502508	0.114797098259005	0.0073195335433771	0.0140860458856071	0.0276618422702121	0.0449880808206837	0.0136063344250201	0.0056262826973884	0.0212462653232322	0.037278833560233	0.0249933049413421	0.0202584779708504	0.00713778773165308
55000	-1091.48874752582	-1027.43510240937	1.36727654499055	1.68146015511991	0.535253110225526	0.986268912803687	0.961348169275962	1.45039350158386	0.722364901083598	0.461020310776632	10	2688120311708066	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00963342859696696	0.0416557204965828	0.00442975155263944	0.0854710702149905	0.0240675937293696	0.141051706236957	0.0226506327366166	0.00166359230272827	0.039503151014647	0.0482612488571654	0.0212578270390934	0.0235429569483433	0.00180998273089605	0.0312544916902703	0.0112986964147709	0.00885251690608954	0.0516550869356345	0.0371993622502508	0.152580762446507	0.0576239477517827	0.0140860458856071	0.0276618422702121	0.0131876207401482	0.0169621553133776	0.00209635228862367	0.0225556318906758	0.037278833560233	0.0249933049413421	0.0237884083796151	0.00192627787786312
55200	-1101.68343508725	-1033.83571504279	0.940180070561479	2.40998012918884	0.498191907473129	0.980553252765839	1.49313304274094	2.51832524569426	0.743833635817381	0.393393588210457	31	5572785755142940	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0126702370837558	0.0355530955218561	0.0114421937090299	0.0340370284992306	0.0207866714140555	0.0257705097993305	0.154632870470009	0.0265085278202559	0.0158815427635528	0.0525793347456965	0.0306367472101922	0.0138344808821125	0.0381268701719331	0.0372364201706665	0.0623186152074416	0.0272226825782333	0.20642320973194	0.0276376501374094	0.0260041058643447	0.016408600454579	0.00223393132967132	0.0196308886951527	0.0103783908455092	0.00621582983915138	0.00931011507991996	0.00671457599427324	0.023043253158571	0.0071865711198783	0.0253709894088835	0.0142040602933638
55400	-1099.0979422059	-1037.37301861229	1.39931667456686	1.39325963001242	0.55550436863777	0.992845726413182	0.82261051522501	1.45039350158386	0.740661112246938	0.497322364095624	17	1181559941115725	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00963342859696696	0.0416557204965828	0.00470663084934816	0.0854710702149905	0.0379937038246976	0.00144111819711163	0.141051706236957	0.0226506327366166	0.00138671300601955	0.039503151014647	0.0482612488571654	0.0212578270390934	0.0149910440206231	0.0112986964147709	0.0312544916902703	0.00419606805065403	0.0516550869356345	0.0371993622502508	0.152580762446507	0.0322128033919817	0.0140860458856072	0.0361417572511019	0.00771891695888017	0.0190248364868741	0.00902017165754564	0.0114319872890977	0.026108610604033	0.0354457795853699	0.0432256463514704	0.00739498165913112
55600	-1101.46078758768	-1035.05567065932	1.68440159016998	1.44014902949559	0.406443288041212	0.952507045885761	0.86048871901737	1.45039350158386	0.778410490631562	0.423102892147486	35	1181559941115725	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.00963342859696696	0.0416557204965828	0.00470663084934816	0.0854710702149905	0.00262367692204779	0.00144111819711163	0.141051706236957	0.0226506327366166	0.00138671300601955	0.0258490704242	0.0482612488571654	0.0212578270390934	0.0132186070241181	0.0466687233174207	0.0312544916902703	0.0321776795217191	0.0516550869356345	0.0495460838088987	0.124599150975442	0.0322128033919817	0.0140860458856072	0.0361417572511019	0.00771891695888017	0.0190248364868741	0.00902017165754564	0.0127393463208969	0.026108610604033	0.0354457795853699	0.0449980833479754	0.00739498165913112
