Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	phi	pi0	theta_1	swap_cold	topo_hash	kPrime_50	kPrime_51	kPrime_52	kPrime_53	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	kPrime_188	kPrime_189	kPrime_190	kPrime_191	kPrime_192	kPrime_193	kPrime_194	kPrime_195	kPrime_196	kPrime_197	kPrime_198	kPrime_199	kPrime_200	kPrime_201	kPrime_202	kPrime_203	kPrime_204	kPrime_205	kPrime_206	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
52200	-1165.92938004327	-1065.80656060448	1.14868509004988	0.506708036968575	0.149241458181088	0.967296637182583	0.635473908438334	0.264037040299796	0.763676661121171	0.453139782844975	8	1430272936970379	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	0.02858382572499	0.0214393487073092	0.0719958416983412	0.0768376877245652	0.0114199876406276	0.157644121493952	0.00222367903109199	0.0290620085495382	0.0195917560567724	0.0290901013590843	0.0281858653516529	0.0377672233791507	0.0345935507065662	0.0269404043016924	0.0154110585760232	0.033360492903485	0.0106642453051723	0.0488053512832252	0.0396476042354182	0.037980037181015	0.0525853194183507	0.0186424955164966	0.0253575752840309	0.0256415590039108	0.0457116009401457	0.0103043158606638	0.0170760663312546	0.0141142816559704	0.0196659404938645	0.00965665428563858
52400	-1175.38344863082	-1062.94875246476	1.30660218479034	0.879564330577325	0.0404932627550781	0.989518974383126	0.715367851720323	0.264037040299796	0.738519754121069	0.59141647136439	16	3725983606025191	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	0.02858382572499	0.0246260358492168	0.0719958416983412	0.0768376877245652	0.0129166628802502	0.157644121493952	0.00222367903109199	0.0290620085495382	0.0140803874360388	0.0290901013590843	0.0281858653516529	0.0365088540939893	0.0277566661646784	0.0285803740187087	0.0209224271967568	0.0362456356040763	0.0076653703749557	0.0259104594332053	0.0364120472161941	0.0366321242474671	0.0553836038276788	0.0383507002246089	0.0257838682367889	0.0256415590039108	0.0457116009401457	0.0103043158606638	0.0155793910916319	0.0236711806461927	0.0224752045603306	0.00521840015929426
52600	-1155.32726737385	-1053.91118222535	1.15959424511078	0.383484528511199	0.115742771747265	0.996566957450368	0.479965722806811	0.264037040299796	0.711857097105684	0.630167863408437	32	1430272936970379	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0175456713402804	0.0246260358492168	0.103583996757079	0.0480616601134857	0.0264633236308504	0.157644121493952	0.00586754171141623	0.0399141965147305	0.0104365247557146	0.0290901013590843	0.0281858653516529	0.0365088540939893	0.0313409317588511	0.0285803740187087	0.0281495003116896	0.0362456356040763	0.00408110478078306	0.0259104594332053	0.0519140630360582	0.0180916210932092	0.0553836038276788	0.0228486844047448	0.0117185745545524	0.0254397430858913	0.0326639490356659	0.0243696095429003	0.0155793910916319	0.0236711806461927	0.0308652806434138	0.00521840015929426
52800	-1145.67894895707	-1068.46628818275	0.546239088492965	4.39031150684269	1.561946496791	0.998069779836023	0.457212606171289	0.244097235378268	0.739298647195382	0.591507999903449	46	3725983606025191	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0327768196585778	0.0172431964846609	0.102832364254815	0.0480616601134857	0.0151782808813226	0.157644121493952	0.0119588896509173	0.0399141965147305	0.0142337914965078	0.0229987534195832	0.0296154476456544	0.0365088540939893	0.0313409317588511	0.0359632133832646	0.0129183519933922	0.0362456356040763	0.00897566309058607	0.0259104594332053	0.0519140630360582	0.0180916210932092	0.0553836038276788	0.0228486844047448	0.0263209326363153	0.0259632405212395	0.0242011680596757	0.0243696095429003	0.0136292788065761	0.0236702716385022	0.0308652806434138	0.00242161481811342
53000	-1179.58600253338	-1072.2423804187	0.604592618912387	0.398972671519889	1.916621347606	0.893345934343715	0.490101693037933	0.485141494826015	0.785003736939073	0.806622338675369	31	713644637056560	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.077276953983552	0.00714600621405804	0.0270597394029156	0.054115359235225	0.0207295212832055	0.0284720197730868	0.0248212913379965	0.0506252633113241	0.0163546792974626	0.00855287328060366	0.00961268450069917	0.025762967358998	0.0365561759528836	0.0379311079954664	0.0270769472471367	0.075463305193085	0.133436855210598	0.0164132657856908	0.0102563739945039	0.0130210171539083	0.0265863834324562	0.0164842636306549	0.0369679019838799	0.0324316086223525	0.0383635087968746	0.0245403591227257	0.0299145815637001	0.0388400596273826	0.0189816068521361	0.0362053188554379
53200	-1177.81464013633	-1068.33093767818	0.638767790206227	0.831071672578264	1.28590149284775	0.953507928578882	0.652144039477208	0.485141494826015	0.741729190045282	0.848486463078329	30	713644637056560	2	3	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	0.077276953983552	0.00714600621405804	0.0122476100767408	0.0430263857759844	0.0278924991530008	0.0196102562825975	0.0248212913379965	0.0654373926374988	0.0172528376289309	0.00855287328060366	0.00961268450069917	0.0253763972675567	0.0365561759528836	0.0369208192237966	0.0261037092371452	0.075463305193085	0.133436855210598	0.0183967925673522	0.0191181374849931	0.00585803928411296	0.0265863834324562	0.0164842636306549	0.0369679019838799	0.0324316086223525	0.0383635087968746	0.0245403591227257	0.0299145815637001	0.0388400596273826	0.0304571504028179	0.0353071605239696
53400	-1125.68549983984	-1047.47548343701	1.57362072454639	2.07659583466876	0.120766709759602	0.992732557732627	0.423977988380489	0.171759799134337	0.759258557496962	0.885627241677558	48	713644637056560	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0459011246248575	0.00714600621405804	0.0122476100767408	0.0430263857759844	0.0125010755308782	0.023564892243369	0.0321067306018564	0.101043936646702	0.0186997053237061	0.00855287328060366	0.0203844877105418	0.0253763972675567	0.0365561759528836	0.0369208192237966	0.0261037092371452	0.075463305193085	0.133436855210598	0.0183967925673522	0.0345095611071158	0.0110472669683126	0.0265863834324562	0.0125296276698834	0.0369679019838799	0.0360913060224982	0.0247248023056072	0.0186749554455152	0.0247253538795004	0.0388400596273826	0.0225667383521636	0.0353071605239696
53600	-1126.36902446068	-1061.16014310363	1.25607089241506	0.742659605212445	0.16382179654816	0.979344351311088	0.424483871099823	0.171759799134337	0.799886006254591	0.866962441242082	6	8166552728289015	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0478375833107712	0.00455855391926388	0.0174896428771759	0.0377843529755493	0.0125010755308782	0.0216284335574553	0.0300012073975262	0.101043936646702	0.00744546337934694	0.0156610073142269	0.0203844877105418	0.0315806865303022	0.0501026302112361	0.0327780900072955	0.0359484259182459	0.0867175471374441	0.120433661676088	0.0313999861018622	0.0209631068487633	0.0139364860348831	0.0265863834324562	0.0146351508742136	0.0222059920076022	0.0303893185578986	0.0247248023056072	0.0209226472771341	0.0247253538795004	0.0365923677957637	0.0282351399991252	0.0307864787851405
53800	-1107.23290075134	-1058.03101961866	1.25607089241506	2.19523760271949	0.0880291719575985	0.995070272848188	0.424483871099823	0.185596702169769	0.799886006254591	0.896820991915405	2	713644637056560	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0568514609560405	0.0211740548600915	0.0174896428771759	0.0427623604768506	0.0134083246359841	0.0216284335574553	0.0205881273706612	0.101043936646702	0.0111683501488069	0.0156610073142269	0.00973814347279867	0.0325132214118819	0.0372223469769331	0.0296176493235941	0.0134700179099957	0.0867175471374441	0.120433661676088	0.0185731492136167	0.0202724758458685	0.0139364860348831	0.0265863834324562	0.0390299783041273	0.014610073035264	0.0230119660698267	0.0247248023056072	0.039455538353232	0.0278857945632018	0.0335577659319172	0.0282351399991252	0.0386321601581434
54000	-1148.06534440062	-1071.57612376176	0.599868792730793	1.30312875649807	1.90877313503017	0.986131370778255	0.474821036637745	0.370661466050069	0.737644885630572	0.79004528641691	7	2111788047167562	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	0.0136774965360088	0.0300594255677644	0.157677417473107	0.0435977840881806	0.017538926663244	0.11617896631654	0.00935928368629712	0.0142743349826706	0.0297927381371592	0.0131914460676208	0.0161990501907309	0.0510935937055773	0.0449076961614454	0.0473649341586281	0.0222392831094779	0.0248303178533205	0.0134530737672619	0.0260108785381347	0.0510595288041185	0.0042114577138813	0.0440703769978988	0.0247044180868635	0.0431093470285914	0.0332378787145186	0.0233034105059469	0.0294062792560301	0.000969770638453803	0.0246859182035737	0.024279250501689	0.00551571654526437
54200	-1127.7392549716	-1063.59381603109	0.361296165558998	0.418719364786053	2.61440439678903	0.997289799201091	0.35054291786626	0.498181160129547	0.753471931374935	0.826372109882749	15	713644637056560	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0561053174948964	0.00439673821606474	0.0174896428771759	0.0427623604768506	0.0134083246359841	0.0206953695258246	0.0237556141936249	0.101043936646702	0.0153666095624405	0.0119194270059963	0.0147504705465048	0.0433446076512597	0.0372223469769331	0.0218509627725191	0.0134700179099957	0.0867175471374441	0.128441409277896	0.0198194749405559	0.0257193718891699	0.013959570520447	0.0212343095520592	0.0157338292672273	0.0205726359029524	0.0230119660698267	0.0247248023056072	0.039455538353232	0.0278103304585383	0.0335577659319172	0.0307686740045386	0.0508910278958158
